num_p,num_scripts,num_a,num_events,is_react,is_vue,is_angular,html_length,score
23, 15, 232, 1, 0, 0, 0, 469248, 0
2, 16, 295, 0, 0, 0, 0, 399171, 0
183, 14, 169, 0, 0, 0, 0, 484717, 0
4, 13, 159, 0, 0, 0, 0, 426594, 0
1, 14, 233, 1, 0, 0, 0, 450893, 0
69, 15, 235, 1, 0, 0, 0, 502500, 0
53, 15, 236, 1, 0, 0, 0, 479056, 0
1, 14, 234, 1, 0, 0, 0, 452347, 0
183, 14, 167, 0, 0, 0, 0, 485423, 0
0, 12, 295, 0, 0, 0, 0, 384738, 0
0, 12, 295, 0, 0, 0, 0, 385576, 0
0, 12, 295, 0, 0, 0, 0, 385110, 0
0, 12, 294, 0, 0, 0, 0, 384762, 0
35, 16, 281, 0, 0, 0, 0, 410002, 0
33, 16, 271, 0, 0, 0, 0, 398332, 0
36, 16, 279, 0, 0, 0, 0, 400104, 0
18, 16, 283, 0, 0, 0, 0, 401282, 0
0, 14, 181, 0, 0, 0, 0, 531510, 0
14, 16, 279, 0, 0, 0, 0, 396418, 0
14, 16, 272, 0, 0, 0, 0, 390220, 0
22, 16, 283, 0, 0, 0, 0, 399415, 0
21, 15, 245, 1, 0, 0, 0, 466894, 0
37, 16, 282, 0, 0, 0, 0, 401706, 0
2, 13, 157, 0, 0, 0, 0, 425809, 0
8, 16, 295, 0, 0, 0, 0, 403358, 0
20, 16, 282, 0, 0, 0, 0, 412571, 0
15, 16, 294, 0, 0, 0, 0, 406514, 0
13, 16, 287, 0, 0, 0, 0, 398300, 0
21, 16, 292, 0, 0, 0, 0, 404950, 0
7, 16, 291, 0, 0, 0, 0, 401659, 0
17, 16, 285, 0, 0, 0, 0, 398015, 0
0, 14, 181, 0, 0, 0, 0, 532023, 0
25, 16, 281, 0, 0, 0, 0, 399168, 0
25, 16, 282, 0, 0, 0, 0, 400307, 0
22, 16, 281, 0, 0, 0, 0, 400102, 0
10, 16, 291, 0, 0, 0, 0, 400212, 0
0, 14, 181, 0, 0, 0, 0, 530696, 0
14, 16, 279, 0, 0, 0, 0, 392698, 0
0, 12, 291, 0, 0, 0, 0, 384682, 0
15, 16, 278, 0, 0, 0, 0, 395158, 0
17, 16, 281, 0, 0, 0, 0, 394859, 0
18, 16, 274, 0, 0, 0, 0, 392995, 0
15, 16, 276, 0, 0, 0, 0, 396104, 0
28, 16, 288, 0, 0, 0, 0, 405593, 0
0, 12, 294, 0, 0, 0, 0, 387251, 0
29, 16, 290, 0, 0, 0, 0, 407947, 0
19, 16, 287, 0, 0, 0, 0, 405669, 0
24, 16, 282, 0, 0, 0, 0, 402719, 0
17, 16, 285, 0, 0, 0, 0, 403438, 0
16, 16, 289, 0, 0, 0, 0, 402463, 0
14, 16, 287, 0, 0, 0, 0, 402291, 0
29, 16, 293, 0, 0, 0, 0, 410579, 0
19, 16, 286, 0, 0, 0, 0, 402677, 0
15, 16, 288, 0, 0, 0, 0, 403995, 0
24, 16, 294, 0, 0, 0, 0, 404606, 0
34, 16, 290, 0, 0, 0, 0, 407860, 0
0, 12, 295, 0, 0, 0, 0, 387413, 0
0, 12, 295, 0, 0, 0, 0, 386716, 0
0, 12, 295, 0, 0, 0, 0, 387239, 0
0, 12, 296, 0, 0, 0, 0, 386736, 0
0, 14, 181, 0, 0, 0, 0, 531974, 0
18, 16, 290, 0, 0, 0, 0, 405511, 0
26, 16, 291, 0, 0, 0, 0, 407432, 0
89, 15, 240, 2, 0, 0, 0, 482207, 0
44, 16, 293, 0, 0, 0, 0, 414309, 0
9, 16, 289, 0, 0, 0, 0, 399600, 0
21, 16, 301, 1, 0, 0, 0, 409472, 0
19, 16, 278, 0, 0, 0, 0, 396925, 0
11, 16, 295, 0, 0, 0, 0, 403508, 0
17, 16, 287, 0, 0, 0, 0, 401716, 0
0, 12, 294, 0, 0, 0, 0, 386202, 0
19, 16, 290, 0, 0, 0, 0, 405710, 0
21, 14, 231, 1, 0, 0, 0, 472632, 0
0, 12, 291, 0, 0, 0, 0, 384638, 0
13, 15, 244, 1, 0, 0, 0, 463176, 0
24, 15, 245, 1, 0, 0, 0, 466366, 0
21, 15, 249, 1, 0, 0, 0, 469954, 0
0, 12, 294, 0, 0, 0, 0, 385183, 0
17, 15, 247, 1, 0, 0, 0, 464651, 0
0, 12, 291, 0, 0, 0, 0, 385580, 0
18, 15, 247, 1, 0, 0, 0, 465779, 0
0, 12, 292, 0, 0, 0, 0, 385391, 0
14, 15, 249, 1, 0, 0, 0, 465840, 0
0, 12, 288, 0, 0, 0, 0, 383663, 0
22, 15, 247, 1, 0, 0, 0, 467156, 0
0, 12, 255, 0, 0, 0, 0, 363192, 0
21, 15, 248, 1, 0, 0, 0, 466598, 0
0, 12, 261, 0, 0, 0, 0, 368058, 0
26, 15, 249, 1, 0, 0, 0, 467385, 0
0, 12, 282, 0, 0, 0, 0, 381131, 0
19, 15, 245, 1, 0, 0, 0, 465481, 0
0, 12, 293, 0, 0, 0, 0, 386576, 0
19, 15, 247, 1, 0, 0, 0, 468998, 0
0, 12, 255, 0, 0, 0, 0, 364693, 0
17, 15, 248, 1, 0, 0, 0, 467708, 0
0, 12, 285, 0, 0, 0, 0, 382658, 0
14, 16, 293, 0, 0, 0, 0, 403209, 0
23, 16, 288, 0, 0, 0, 0, 402889, 0
20, 16, 294, 0, 0, 0, 0, 408116, 0
20, 16, 280, 0, 0, 0, 0, 405774, 0
45, 15, 238, 1, 0, 0, 0, 470705, 0
11, 16, 297, 0, 0, 0, 0, 406091, 0
13, 15, 235, 1, 0, 0, 0, 493186, 0
5, 16, 281, 0, 0, 0, 0, 393024, 0
23, 16, 299, 0, 0, 0, 0, 410206, 0
26, 15, 247, 1, 0, 0, 0, 466303, 0
14, 16, 300, 1, 0, 0, 0, 406299, 0
17, 16, 302, 1, 0, 0, 0, 410009, 0
27, 15, 241, 2, 0, 0, 0, 467362, 0
7, 16, 290, 0, 0, 0, 0, 399235, 0
18, 15, 246, 1, 0, 0, 0, 466724, 0
22, 15, 245, 1, 0, 0, 0, 467525, 0
29, 15, 247, 1, 0, 0, 0, 468756, 0
12, 16, 278, 0, 0, 0, 0, 393941, 0
0, 12, 294, 0, 0, 0, 0, 385552, 0
9, 16, 279, 0, 0, 0, 0, 393036, 0
0, 12, 294, 0, 0, 0, 0, 386998, 0
5, 16, 278, 0, 0, 0, 0, 391407, 0
0, 12, 294, 0, 0, 0, 0, 386199, 0
9, 16, 272, 0, 0, 0, 0, 388569, 0
0, 12, 294, 0, 0, 0, 0, 386531, 0
9, 16, 281, 0, 0, 0, 0, 394778, 0
0, 12, 294, 0, 0, 0, 0, 386252, 0
12, 16, 278, 0, 0, 0, 0, 395476, 0
0, 12, 294, 0, 0, 0, 0, 386173, 0
22, 15, 247, 1, 0, 0, 0, 467415, 0
20, 15, 246, 1, 0, 0, 0, 465946, 0
26, 15, 248, 1, 0, 0, 0, 467784, 0
21, 15, 245, 1, 0, 0, 0, 465977, 0
15, 15, 245, 1, 0, 0, 0, 466453, 0
24, 16, 291, 0, 0, 0, 0, 409331, 0
22, 15, 245, 1, 0, 0, 0, 467064, 0
20, 15, 245, 1, 0, 0, 0, 464662, 0
29, 15, 245, 1, 0, 0, 0, 468929, 0
21, 15, 246, 1, 0, 0, 0, 467190, 0
21, 15, 246, 1, 0, 0, 0, 465380, 0
20, 15, 245, 1, 0, 0, 0, 465459, 0
22, 15, 245, 1, 0, 0, 0, 464841, 0
25, 15, 246, 1, 0, 0, 0, 474970, 0
24, 15, 246, 1, 0, 0, 0, 467334, 0
26, 15, 247, 1, 0, 0, 0, 466753, 0
0, 12, 282, 0, 0, 0, 0, 378633, 0
32, 15, 247, 1, 0, 0, 0, 467549, 0
24, 15, 249, 1, 0, 0, 0, 468691, 0
14, 15, 245, 1, 0, 0, 0, 462107, 0
16, 15, 244, 1, 0, 0, 0, 463114, 0
19, 15, 247, 1, 0, 0, 0, 465723, 0
13, 15, 247, 1, 0, 0, 0, 465364, 0
15, 15, 247, 1, 0, 0, 0, 465550, 0
16, 15, 247, 1, 0, 0, 0, 466669, 0
34, 15, 234, 1, 0, 0, 0, 477436, 0
0, 12, 294, 0, 0, 0, 0, 385759, 0
15, 16, 292, 0, 0, 0, 0, 402511, 0
13, 16, 280, 0, 0, 0, 0, 396599, 0
30, 15, 234, 1, 0, 0, 0, 477778, 0
7, 16, 280, 0, 0, 0, 0, 393628, 0
36, 15, 233, 1, 0, 0, 0, 477170, 0
18, 16, 282, 0, 0, 0, 0, 398627, 0
8, 16, 279, 0, 0, 0, 0, 394479, 0
11, 16, 292, 0, 0, 0, 0, 402300, 0
20, 16, 294, 0, 0, 0, 0, 409131, 0
5, 16, 279, 0, 0, 0, 0, 392945, 0
7, 16, 279, 0, 0, 0, 0, 394525, 0
0, 12, 295, 0, 0, 0, 0, 386621, 0
0, 12, 295, 0, 0, 0, 0, 386089, 0
0, 12, 295, 0, 0, 0, 0, 386092, 0
0, 12, 296, 0, 0, 0, 0, 386562, 0
0, 12, 273, 0, 0, 0, 0, 374272, 0
25, 15, 234, 1, 0, 0, 0, 476604, 0
27, 15, 234, 1, 0, 0, 0, 474127, 0
16, 16, 282, 0, 0, 0, 0, 400267, 0
0, 12, 294, 0, 0, 0, 0, 385334, 0
8, 14, 240, 2, 0, 0, 0, 459936, 0
3, 14, 235, 1, 0, 0, 0, 452787, 0
55, 15, 234, 1, 0, 0, 0, 487200, 0
73, 15, 237, 1, 0, 0, 0, 496991, 0
99, 15, 237, 1, 0, 0, 0, 538016, 0
71, 15, 235, 1, 0, 0, 0, 496680, 0
104, 15, 235, 1, 0, 0, 0, 512433, 0
32, 15, 233, 1, 0, 0, 0, 477060, 0
53, 15, 236, 1, 0, 0, 0, 498666, 0
0, 12, 295, 0, 0, 0, 0, 384864, 0
0, 12, 295, 0, 0, 0, 0, 384772, 0
0, 12, 295, 0, 0, 0, 0, 384939, 0
0, 12, 292, 0, 0, 0, 0, 384828, 0
27, 15, 234, 1, 0, 0, 0, 465876, 0
7, 16, 288, 0, 0, 0, 0, 397241, 0
41, 15, 234, 1, 0, 0, 0, 473839, 0
47, 15, 236, 1, 0, 0, 0, 480642, 0
15, 16, 292, 0, 0, 0, 0, 406666, 0
25, 16, 282, 0, 0, 0, 0, 398173, 0
17, 16, 302, 1, 0, 0, 0, 408754, 0
15, 16, 302, 1, 0, 0, 0, 405833, 0
13, 16, 280, 0, 0, 0, 0, 392851, 0
15, 16, 283, 0, 0, 0, 0, 396738, 0
8, 16, 280, 0, 0, 0, 0, 395064, 0
4, 16, 276, 0, 0, 0, 0, 389491, 0
6, 16, 283, 0, 0, 0, 0, 395738, 0
9, 16, 280, 0, 0, 0, 0, 393173, 0
20, 16, 289, 0, 0, 0, 0, 404675, 0
15, 16, 282, 0, 0, 0, 0, 397894, 0
9, 16, 281, 0, 0, 0, 0, 394110, 0
13, 16, 278, 0, 0, 0, 0, 397478, 0
8, 16, 276, 0, 0, 0, 0, 390174, 0
17, 16, 278, 0, 0, 0, 0, 395954, 0
11, 16, 290, 0, 0, 0, 0, 400449, 0
25, 16, 288, 0, 0, 0, 0, 405202, 0
17, 16, 288, 0, 0, 0, 0, 401451, 0
14, 16, 294, 0, 0, 0, 0, 403929, 0
11, 16, 288, 0, 0, 0, 0, 400452, 0
9, 16, 290, 0, 0, 0, 0, 399783, 0
